ID,Behavior,Time
EM07_WD1,A = LOCOMOTION,0.60156
EM07_WD1,W = REARED SNIFF,0.23437
EM07_WD1,H = JUMPING,0.16016
EM07_WD1,W = REARED SNIFF,2.85157
EM07_WD1,A = LOCOMOTION,0.88672
EM07_WD1,W = REARED SNIFF,3.29297
EM07_WD1,A = LOCOMOTION,2.34375
EM07_WD1,A = LOCOMOTION,1
EM07_WD1,W = REARED SNIFF,4.25391
EM07_WD1,F = CHEWING,0.3789
EM07_WD1,W = REARED SNIFF,6.3711
EM07_WD1,A = LOCOMOTION,2.55078
EM07_WD1,A = LOCOMOTION,0.25391
EM07_WD1,A = LOCOMOTION,0.89062
EM07_WD1,,
EM07_WD1,,
EM07_WD1,,
EM07_WD1,,
EM07_WD1,W = REARED SNIFF,0.28516
EM07_WD1,A = LOCOMOTION,0.3789
EM07_WD1,W = REARED SNIFF,0.83985
EM07_WD1,H = JUMPING,0.09375
EM07_WD1,W = REARED SNIFF,3.6875
EM07_WD1,A = LOCOMOTION,1.10547
EM07_WD1,W = REARED SNIFF,3.52343
EM07_WD1,A = LOCOMOTION,1.42579
EM07_WD1,W = REARED SNIFF,8.24219
EM07_WD1,E = AGITATION OTHER,4.73437
EM07_WD1,,
EM07_WD1,F = CHEWING,1.95313
EM07_WD1,,
EM07_WD1,E = AGITATION OTHER,1.58984
EM07_WD1,F = CHEWING,1.99219
EM07_WD1,A = LOCOMOTION,1.47656
EM07_WD1,H = JUMPING,0.16016
EM07_WD1,W = REARED SNIFF,4.53906
EM07_WD1,A = LOCOMOTION,0.16016
EM07_WD1,W = REARED SNIFF,11.1211
EM07_WD1,A = LOCOMOTION,1.4415
EM07_WD1,W = REARED SNIFF,1.0507
EM07_WD1,,
EM07_WD1,E = AGITATION OTHER,3.2148
EM07_WD1,W = REARED SNIFF,1.0781
EM07_WD1,A = LOCOMOTION,0.8867
EM07_WD1,,
EM07_WD1,W = REARED SNIFF,15.0313
EM07_WD1,W = REARED SNIFF,1.25
EM07_WD1,A = LOCOMOTION,2.2735
EM07_WD1,W = REARED SNIFF,0.2578
EM07_WD1,A = LOCOMOTION,0.586
EM07_WD1,W = REARED SNIFF,0.1875
EM07_WD1,H = JUMPING,0.0977
EM07_WD1,W = REARED SNIFF,1.2344
EM07_WD1,W = REARED SNIFF,4.1211
EM07_WD1,W = REARED SNIFF,0.4805
EM07_WD1,E = AGITATION OTHER,2.5664
EM07_WD1,W = REARED SNIFF,1.043
EM07_WD1,A = LOCOMOTION,1.3359
EM07_WD1,S = SCRATCHING,0.0977
EM07_WD1,W = REARED SNIFF,0.5078
EM07_WD1,D = GROOMING,0.0937
EM07_WD1,W = REARED SNIFF,0.2226
EM07_WD1,A = LOCOMOTION,0.5078
EM07_WD1,W = REARED SNIFF,4.375
EM07_WD1,A = LOCOMOTION,1
EM07_WD1,W = REARED SNIFF,4.6601
EM07_WD1,A = LOCOMOTION,0.2539
EM07_WD1,W = REARED SNIFF,0.8594
EM07_WD1,H = JUMPING,0.1289
EM07_WD1,S = SCRATCHING,1.9961
EM07_WD1,F = CHEWING,2.1562
EM07_WD1,S = SCRATCHING,0.6368
EM07_WD1,H = JUMPING,0.1601
EM07_WD1,A = LOCOMOTION,3.7148
EM07_WD1,W = REARED SNIFF,1.961
EM07_WD1,A = LOCOMOTION,0.125
EM07_WD1,,
EM07_WD1,W = REARED SNIFF,0.1915
EM07_WD1,H = JUMPING,0.0976
EM07_WD1,W = REARED SNIFF,6.6289
EM07_WD1,A = LOCOMOTION,0.7617
EM07_WD1,H = JUMPING,0.1875
EM07_WD1,W = REARED SNIFF,2.7891
EM07_WD1,A = LOCOMOTION,0.2539
EM07_WD1,H = JUMPING,0.6602
EM07_WD1,W = REARED SNIFF,4.7071
EM07_WD1,W = REARED SNIFF,4.1211
EM07_WD1,H = JUMPING,0.1601
EM07_WD1,W = REARED SNIFF,6.1641
EM07_WD1,A = LOCOMOTION,1.1094
EM07_WD1,W = REARED SNIFF,1.4766
EM07_WD1,A = LOCOMOTION,0.8906
EM07_WD1,W = REARED SNIFF,6.7774
EM07_WD1,A = LOCOMOTION,2.0782
EM07_WD1,W = REARED SNIFF,1.1094
EM07_WD1,A = LOCOMOTION,0.793
EM07_WD1,W = REARED SNIFF,3.3359
EM07_WD1,,
EM07_WD1,W = REARED SNIFF,9.3086
EM07_WD1,W = REARED SNIFF,10.4219
EM07_WD1,F = CHEWING,0.4766
EM07_WD1,W = REARED SNIFF,1.7227
EM07_WD1,W = REARED SNIFF,1.7305
EM07_WD1,,
EM07_WD1,A = LOCOMOTION,0.4765
EM07_WD1,A = LOCOMOTION,1.2344
EM07_WD1,W = REARED SNIFF,0.3828
EM07_WD1,H = JUMPING,0.2852
EM07_WD1,H = JUMPING,0.3164
EM07_WD1,,
EM07_WD1,A = LOCOMOTION,2.5235
EM07_WD1,W = REARED SNIFF,0.7617
EM07_WD1,,
EM07_WD1,,
EM07_WD1,H = JUMPING,1.0781
EM07_WD1,A = LOCOMOTION,0.6016
EM07_WD1,W = REARED SNIFF,36.082
EM07_WD1,A = LOCOMOTION,0.9063
EM07_WD1,,
EM07_WD1,,
EM07_WD1,H = JUMPING,0.6055
EM07_WD1,W = REARED SNIFF,0.3164
EM07_WD1,H = JUMPING,0.125
EM07_WD1,W = REARED SNIFF,10.9453
EM07_WD1,W = REARED SNIFF,3.1211
EM07_WD1,A = LOCOMOTION,1.8242
EM07_WD1,W = REARED SNIFF,5.0079
EM07_WD1,E = AGITATION OTHER,0.125
EM07_WD1,F = CHEWING,1.3321
EM07_WD1,W = REARED SNIFF,3.7695
EM07_WD1,A = LOCOMOTION,0.1875
EM07_WD1,W = REARED SNIFF,3.5039
EM07_WD1,A = LOCOMOTION,0.1914
EM07_WD1,W = REARED SNIFF,3.7032
EM07_WD1,H = JUMPING,0.3125
EM07_WD1,J = DIGGING,6.3399
EM07_WD1,D = GROOMING,0.0625
EM07_WD1,A = LOCOMOTION,0.414
EM07_WD1,S = SCRATCHING,2.2343
EM07_WD1,W = REARED SNIFF,0.9648
EM07_WD1,A = LOCOMOTION,0.1562
EM07_WD1,A = LOCOMOTION,1.0781
EM07_WD1,W = REARED SNIFF,0.4101
EM07_WD1,H = JUMPING,0.125
EM07_WD1,A = LOCOMOTION,0.6016
EM07_WD1,W = REARED SNIFF,8.1601
EM07_WD1,E = AGITATION OTHER,0.9844
EM07_WD1,W = REARED SNIFF,2.3555
EM07_WD1,A = LOCOMOTION,1.3632
EM07_WD1,A = LOCOMOTION,0.9804
EM07_WD1,W = REARED SNIFF,15.1602
EM07_WD1,,
EM07_WD1,W = REARED SNIFF,2.8555
EM07_WD1,A = LOCOMOTION,0.2226
EM07_WD1,W = REARED SNIFF,4.7852
EM07_WD1,E = AGITATION OTHER,2.6601
EM07_WD1,W = REARED SNIFF,0.4726
EM07_WD1,A = LOCOMOTION,0.6328
EM07_WD1,H = JUMPING,0.125
EM07_WD1,A = LOCOMOTION,0.1914
EM07_WD1,W = REARED SNIFF,7.3671
EM07_WD1,A = LOCOMOTION,4.1367
EM07_WD1,S = SCRATCHING,1.664
EM07_WD1,W = REARED SNIFF,36.2031
EM07_WD1,E = AGITATION OTHER,2.2969
EM07_WD1,W = REARED SNIFF,1.207
EM07_WD1,E = AGITATION OTHER,0.8868
EM07_WD1,W = REARED SNIFF,11.1953
EM07_WD1,W = REARED SNIFF,16.3984
EM07_WD1,E = AGITATION OTHER,5.8672
EM07_WD1,W = REARED SNIFF,6.1172
EM08_WD1,W = REARED SNIFF,1.445312
EM08_WD1,A = LOCOMOTION,1
EM08_WD1,W = REARED SNIFF,0.505859
EM08_WD1,W = REARED SNIFF,4.119136
EM08_WD1,A = LOCOMOTION,0.95508
EM08_WD1,J = DIGGING,0.32032
EM08_WD1,J = DIGGING,1.52539
EM08_WD1,W = REARED SNIFF,5.125
